gene	set
IGFPB3	complement_and_C4A_PPI_stringDB_132genes
IGLL5	complement_and_C4A_PPI_stringDB_132genes
IL6	complement_and_C4A_PPI_stringDB_132genes
ITIH2	complement_and_C4A_PPI_stringDB_132genes
KNG1	complement_and_C4A_PPI_stringDB_132genes
LAMB1	complement_and_C4A_PPI_stringDB_132genes
LAMB2	complement_and_C4A_PPI_stringDB_132genes
LAMC1	complement_and_C4A_PPI_stringDB_132genes
LGALS1	complement_and_C4A_PPI_stringDB_132genes
LTBP1	complement_and_C4A_PPI_stringDB_132genes
MATN3	complement_and_C4A_PPI_stringDB_132genes
MFGE8	complement_and_C4A_PPI_stringDB_132genes
MFI2	complement_and_C4A_PPI_stringDB_132genes
MIA3	complement_and_C4A_PPI_stringDB_132genes
MSLN	complement_and_C4A_PPI_stringDB_132genes
MXRA8	complement_and_C4A_PPI_stringDB_132genes
NOTUM	complement_and_C4A_PPI_stringDB_132genes
NUCB1	complement_and_C4A_PPI_stringDB_132genes
P4HB	complement_and_C4A_PPI_stringDB_132genes
PCSK9	complement_and_C4A_PPI_stringDB_132genes
PDIA6	complement_and_C4A_PPI_stringDB_132genes
PNPLA2	complement_and_C4A_PPI_stringDB_132genes
PRKCSH	complement_and_C4A_PPI_stringDB_132genes
PROC	complement_and_C4A_PPI_stringDB_132genes
PRSS23	complement_and_C4A_PPI_stringDB_132genes
SDC2	complement_and_C4A_PPI_stringDB_132genes
SERPINA1	complement_and_C4A_PPI_stringDB_132genes
SERPINA10	complement_and_C4A_PPI_stringDB_132genes
SERPINC1	complement_and_C4A_PPI_stringDB_132genes
SERPIND1	complement_and_C4A_PPI_stringDB_132genes
SPARCL1	complement_and_C4A_PPI_stringDB_132genes
SPP1	complement_and_C4A_PPI_stringDB_132genes
SPP2	complement_and_C4A_PPI_stringDB_132genes
TF	complement_and_C4A_PPI_stringDB_132genes
TIMP1	complement_and_C4A_PPI_stringDB_132genes
TNC	complement_and_C4A_PPI_stringDB_132genes
VCAN	complement_and_C4A_PPI_stringDB_132genes
VGF	complement_and_C4A_PPI_stringDB_132genes
VWA1	complement_and_C4A_PPI_stringDB_132genes
C1QA	complement_and_C4A_PPI_InWeb_highconf_67genes
C1QB	complement_and_C4A_PPI_InWeb_highconf_67genes
C1QC	complement_and_C4A_PPI_InWeb_highconf_67genes
C1R	complement_and_C4A_PPI_InWeb_highconf_67genes
C1S	complement_and_C4A_PPI_InWeb_highconf_67genes
C2	complement_and_C4A_PPI_InWeb_highconf_67genes
C3	complement_and_C4A_PPI_InWeb_highconf_67genes
C4A	complement_and_C4A_PPI_InWeb_highconf_67genes
C4B	complement_and_C4A_PPI_InWeb_highconf_67genes
C5	complement_and_C4A_PPI_InWeb_highconf_67genes
C6	complement_and_C4A_PPI_InWeb_highconf_67genes
C7	complement_and_C4A_PPI_InWeb_highconf_67genes
C8A	complement_and_C4A_PPI_InWeb_highconf_67genes
C8B	complement_and_C4A_PPI_InWeb_highconf_67genes
C8G	complement_and_C4A_PPI_InWeb_highconf_67genes
C9	complement_and_C4A_PPI_InWeb_highconf_67genes
CFB	complement_and_C4A_PPI_InWeb_highconf_67genes
CFD	complement_and_C4A_PPI_InWeb_highconf_67genes
CFP	complement_and_C4A_PPI_InWeb_highconf_67genes
COLEC10	complement_and_C4A_PPI_InWeb_highconf_67genes
COLEC11	complement_and_C4A_PPI_InWeb_highconf_67genes
FCN1	complement_and_C4A_PPI_InWeb_highconf_67genes
FCN2	complement_and_C4A_PPI_InWeb_highconf_67genes
FCN3	complement_and_C4A_PPI_InWeb_highconf_67genes
MASP1	complement_and_C4A_PPI_InWeb_highconf_67genes
MASP2	complement_and_C4A_PPI_InWeb_highconf_67genes
MBL2	complement_and_C4A_PPI_InWeb_highconf_67genes
C3AR1	complement_and_C4A_PPI_InWeb_highconf_67genes
C4BPA	complement_and_C4A_PPI_InWeb_highconf_67genes
C4BPB	complement_and_C4A_PPI_InWeb_highconf_67genes
C5AR1	complement_and_C4A_PPI_InWeb_highconf_67genes
CD46	complement_and_C4A_PPI_InWeb_highconf_67genes
CD55	complement_and_C4A_PPI_InWeb_highconf_67genes
CD59	complement_and_C4A_PPI_InWeb_highconf_67genes
CD93	complement_and_C4A_PPI_InWeb_highconf_67genes
CFH	complement_and_C4A_PPI_InWeb_highconf_67genes
CFHR1	complement_and_C4A_PPI_InWeb_highconf_67genes
CFHR2	complement_and_C4A_PPI_InWeb_highconf_67genes
CFHR3	complement_and_C4A_PPI_InWeb_highconf_67genes
CFHR4	complement_and_C4A_PPI_InWeb_highconf_67genes
CFHR5	complement_and_C4A_PPI_InWeb_highconf_67genes
CFI	complement_and_C4A_PPI_InWeb_highconf_67genes
CLU	complement_and_C4A_PPI_InWeb_highconf_67genes
CR1	complement_and_C4A_PPI_InWeb_highconf_67genes
CR2	complement_and_C4A_PPI_InWeb_highconf_67genes
CSMD1	complement_and_C4A_PPI_InWeb_highconf_67genes
CSMD2	complement_and_C4A_PPI_InWeb_highconf_67genes
