"","i","R","P","Gene","FDR","syngo","ENSG"
"58",58,0.0828344350110032,0.132231176622294,"ANKRD65",0.207606578596478,FALSE,"ENSG00000235098"
"59",59,0.0553040222221417,0.228986902315752,"RP4-758J18.7",0.305753897994007,FALSE,"ENSG00000225905"
"60",60,0.029772839226732,0.34506198084655,"TMEM88B",0.400016814595879,FALSE,"ENSG00000205116"
"61",61,0.123143849938338,0.0471713964715923,"RP4-758J18.10",0.0956517987581215,FALSE,"ENSG00000225285"
"62",62,0.384957994948766,7.40487784618063e-10,"VWA1",2.53193228151635e-08,FALSE,"ENSG00000179403"
"63",63,0.0964654552160067,0.0963313247218186,"ATAD3C",0.164540316490277,FALSE,"ENSG00000215915"
"64",64,-0.0537098718010397,0.235556884961199,"ATAD3B",0.311887569111036,FALSE,"ENSG00000160072"
"65",65,-0.0665422055467506,0.185598464488232,"ATAD3A",0.264310388898266,FALSE,"ENSG00000197785"
"66",66,-0.0931911673077677,0.104243666194346,"TMEM240",0.174174662704481,FALSE,"ENSG00000205090"
"67",67,-0.0420758016037063,0.28639944566085,"SSU72",0.354018588316877,FALSE,"ENSG00000160075"
"68",68,-0.0772857632875557,0.149117363162961,"AL645728.1",0.225793626055112,FALSE,"ENSG00000215014"
"69",69,-0.0969568763520285,0.0951817108411644,"C1orf233",0.163245567320794,FALSE,"ENSG00000228594"
"70",70,0.0384674796187653,0.303128907901225,"RP11-345P4.9",0.367479065012935,FALSE,"ENSG00000272106"
"71",71,-0.0241901271748567,0.37303286463677,"MIB2",0.419263951344415,FALSE,"ENSG00000197530"
"72",72,0.0273740698973601,0.356990508431894,"MMP23B",0.408800507824322,FALSE,"ENSG00000189409"
"73",73,0.0830408662020012,0.131628618428911,"CDK11B",0.207050440591346,FALSE,"ENSG00000248333"
"74",74,-0.1843822048628,0.00532951538073064,"SLC35E2B",0.0167863375993106,FALSE,"ENSG00000189339"
"75",75,0.0572417046478238,0.221136838275718,"RP11-345P4.7",0.2988820083686,FALSE,"ENSG00000269737"
"76",76,0.0241840036900396,0.373063933957238,"RP11-345P4.6",0.419263951344415,FALSE,"ENSG00000269227"
"77",77,-0.00776903195646544,0.458604975102419,"MMP23A",0.47524580959884,FALSE,"ENSG00000215914"
"78",78,0.153980356100925,0.0174227933597714,"CDK11A",0.0437427973813082,FALSE,"ENSG00000008128"
"79",79,-0.123253527512545,0.0470203882833944,"RP1-283E3.4",0.0954334080079847,FALSE,"ENSG00000227775"
"80",80,-0.12912312140223,0.0394724529767663,"SLC35E2",0.0835283189578145,FALSE,"ENSG00000215790"
"81",81,0.0583840497384876,0.216579595057511,"NADK",0.294372890714631,FALSE,"ENSG00000008130"
"82",82,-0.291874453273318,9.83233689325577e-06,"GNB1",8.4913707912839e-05,FALSE,"ENSG00000078369"
"83",83,-0.0779838210850378,0.146919669916065,"RP1-140A9.1",0.223258095004592,FALSE,"ENSG00000231050"
"84",84,-0.0989703814552208,0.0905734880212352,"CALML6",0.15745295119537,FALSE,"ENSG00000169885"
"85",85,0.0343474045434964,0.322729496503923,"TMEM52",0.383025932683482,FALSE,"ENSG00000178821"
"86",86,-0.187965400715543,0.00456816324566318,"C1orf222",0.0148270797316659,FALSE,"ENSG00000142609"
"87",87,-0.135347346693467,0.032546751368456,"RP11-547D24.1",0.0719545348450785,FALSE,"ENSG00000233542"
"88",88,-0.211849238113307,0.00150100124702946,"GABRD",0.00589731689633998,TRUE,"ENSG00000187730"
"89",89,-0.196207904917178,0.00316490700965546,"PRKCZ",0.0109917645645493,FALSE,"ENSG00000067606"
"90",90,0.079939972257942,0.140873624842145,"RP5-892K4.1",0.216620397532568,FALSE,"ENSG00000271806"
"91",91,0.0922531517117856,0.10659205132053,"RP11-181G12.2",0.176931310404297,FALSE,"ENSG00000182873"
"92",92,0.0723532268782595,0.16524821280132,"C1orf86",0.243008505780437,FALSE,"ENSG00000162585"
"93",93,0.0116603841028014,0.438006058257161,"AL590822.2",0.462649561138521,FALSE,"ENSG00000269554"
"94",94,-0.123101922632489,0.0472292229098592,"AL590822.1",0.0957310322554987,FALSE,"ENSG00000203301"
"95",95,-0.0133464587843315,0.429127757717434,"SKI",0.457239954405061,FALSE,"ENSG00000157933"
"96",96,-0.167284529214965,0.0106521082737501,"MORN1",0.0294567007404284,FALSE,"ENSG00000116151"
"97",97,-0.0704443661266893,0.171773102569669,"RP4-713A8.1",0.249899860094832,FALSE,"ENSG00000272161"
"98",98,-0.0339377644843409,0.324705743425544,"AL589739.1",0.384398540495952,FALSE,"ENSG00000269753"
"99",99,-0.209346890513127,0.00169891556146021,"RP4-740C4.6",0.00655015421672808,FALSE,"ENSG00000269896"
"100",100,-0.0673148486008241,0.182809309044246,"RP4-740C4.7",0.261459939148283,FALSE,"ENSG00000272420"
"101",101,0.0461572654498397,0.268004097457154,"RER1",0.339089326620239,FALSE,"ENSG00000157916"
"102",102,0.0457583863756283,0.26977618681729,"PEX10",0.340603287160955,FALSE,"ENSG00000157911"
"103",103,-0.203300021492606,0.00227530982500505,"PLCH2",0.0083662163907297,FALSE,"ENSG00000149527"
"104",104,-0.178184847642057,0.00690586860977161,"RP3-395M20.2",0.0206649365756737,FALSE,"ENSG00000224387"
"105",105,-0.172953101524352,0.00853246217263139,"RP3-395M20.3",0.0245696601056777,FALSE,"ENSG00000229393"
