gene	set
IGLL5	Complement + C4A PPI STRING (132 genes)
IL6	Complement + C4A PPI STRING (132 genes)
ITIH2	Complement + C4A PPI STRING (132 genes)
KNG1	Complement + C4A PPI STRING (132 genes)
LAMB1	Complement + C4A PPI STRING (132 genes)
LAMB2	Complement + C4A PPI STRING (132 genes)
LAMC1	Complement + C4A PPI STRING (132 genes)
LGALS1	Complement + C4A PPI STRING (132 genes)
LTBP1	Complement + C4A PPI STRING (132 genes)
MATN3	Complement + C4A PPI STRING (132 genes)
MFGE8	Complement + C4A PPI STRING (132 genes)
MFI2	Complement + C4A PPI STRING (132 genes)
MIA3	Complement + C4A PPI STRING (132 genes)
MSLN	Complement + C4A PPI STRING (132 genes)
MXRA8	Complement + C4A PPI STRING (132 genes)
NOTUM	Complement + C4A PPI STRING (132 genes)
NUCB1	Complement + C4A PPI STRING (132 genes)
P4HB	Complement + C4A PPI STRING (132 genes)
PCSK9	Complement + C4A PPI STRING (132 genes)
PDIA6	Complement + C4A PPI STRING (132 genes)
PNPLA2	Complement + C4A PPI STRING (132 genes)
PRKCSH	Complement + C4A PPI STRING (132 genes)
PROC	Complement + C4A PPI STRING (132 genes)
PRSS23	Complement + C4A PPI STRING (132 genes)
SDC2	Complement + C4A PPI STRING (132 genes)
SERPINA1	Complement + C4A PPI STRING (132 genes)
SERPINA10	Complement + C4A PPI STRING (132 genes)
SERPINC1	Complement + C4A PPI STRING (132 genes)
SERPIND1	Complement + C4A PPI STRING (132 genes)
SPARCL1	Complement + C4A PPI STRING (132 genes)
SPP1	Complement + C4A PPI STRING (132 genes)
SPP2	Complement + C4A PPI STRING (132 genes)
TF	Complement + C4A PPI STRING (132 genes)
TIMP1	Complement + C4A PPI STRING (132 genes)
TNC	Complement + C4A PPI STRING (132 genes)
VCAN	Complement + C4A PPI STRING (132 genes)
VGF	Complement + C4A PPI STRING (132 genes)
VWA1	Complement + C4A PPI STRING (132 genes)
C1QA	Complement + C4A PPI InWeb (67 genes)
C1QB	Complement + C4A PPI InWeb (67 genes)
C1QC	Complement + C4A PPI InWeb (67 genes)
C1R	Complement + C4A PPI InWeb (67 genes)
C1S	Complement + C4A PPI InWeb (67 genes)
C2	Complement + C4A PPI InWeb (67 genes)
C3	Complement + C4A PPI InWeb (67 genes)
C4A	Complement + C4A PPI InWeb (67 genes)
C4B	Complement + C4A PPI InWeb (67 genes)
C5	Complement + C4A PPI InWeb (67 genes)
C6	Complement + C4A PPI InWeb (67 genes)
C7	Complement + C4A PPI InWeb (67 genes)
C8A	Complement + C4A PPI InWeb (67 genes)
C8B	Complement + C4A PPI InWeb (67 genes)
C8G	Complement + C4A PPI InWeb (67 genes)
C9	Complement + C4A PPI InWeb (67 genes)
