"","gene","Seed","Gene","R","P","FDR"
"cor18670","CTA-212D2.2","ENSG00000244731","ENSG00000232876",-0.0604123790402094,0.470402199372423,0.716811297541967
"cor18671","RP3-453C12.8","ENSG00000244731","ENSG00000232880",-0.18771407817237,0.0237623267517673,0.122148027463114
"cor18672","PHKA1P1","ENSG00000244731","ENSG00000232882",0.0443328789306244,0.596473500437896,0.801715577493311
"cor18673","AF127936.3","ENSG00000244731","ENSG00000232884",0.12950732157279,0.120537142589709,0.338522101452702
"cor18674","AC006466.5","ENSG00000244731","ENSG00000232887",-0.043212526530445,0.605794869565007,0.807620878732581
"cor18675","RPS11P5","ENSG00000244731","ENSG00000232888",-0.00979938178325163,0.906874565603737,0.96077942507104
"cor18676","CYCSP10","ENSG00000244731","ENSG00000232901",-0.0708890987967498,0.396829998171726,0.655256350366973
"cor18677","RP13-137A17.4","ENSG00000244731","ENSG00000232903",-0.143330435545925,0.0854541220275132,0.275036780861279
"cor18678","RP5-977B1.7","ENSG00000244731","ENSG00000232907",-0.116193416426042,0.163994155609008,0.403165334477926
"cor18679","AC000078.5","ENSG00000244731","ENSG00000232926",-0.00693886130938439,0.93398450864191,0.972970771814325
"cor18680","DDX3YP1","ENSG00000244731","ENSG00000232928",0.0573226582730428,0.493441476250125,0.731951622444814
"cor18681","LINC00342","ENSG00000244731","ENSG00000232931",0.0209965467145046,0.802068282830399,0.914386739445473
"cor18682","AC139099.3","ENSG00000244731","ENSG00000232938",-0.164800766663488,0.0476076568935158,0.191217040482075
"cor18683","HCG25","ENSG00000244731","ENSG00000232940",0.0760686856875896,0.363150208699265,0.626071591057347
"cor18684","AC090186.1","ENSG00000244731","ENSG00000232941",0.130212791421149,0.118511330274242,0.335620770310867
"cor18685","SNHG15","ENSG00000244731","ENSG00000232956",-0.0105521973572362,0.899756442936495,0.95812437940705
"cor18686","POLHP1","ENSG00000244731","ENSG00000232970",-0.0665371361273398,0.426520228938547,0.681076354719437
"cor18687","CYP1B1-AS1","ENSG00000244731","ENSG00000232973",0.0305046258128504,0.715686337573135,0.871027330978611
"cor18688","LINC00327","ENSG00000244731","ENSG00000232977",-0.153833804694393,0.0646915243794538,0.231674218334867
"cor18689","RPL7P14","ENSG00000244731","ENSG00000232994",0.0835481338531578,0.317749485562899,0.583266919679072
"cor18690","RP11-267N12.3","ENSG00000244731","ENSG00000232995",0.179607112349944,0.0306453722753188,0.144741400957315
"cor18691","AC034220.3","ENSG00000244731","ENSG00000233006",-0.0584561468495288,0.484920561941608,0.726607350750046
"cor18692","RP11-475O6.1","ENSG00000244731","ENSG00000233008",0.00490322350214841,0.953324905345862,0.981465792306141
"cor18693","NALCN-AS1","ENSG00000244731","ENSG00000233009",-0.0683038265284704,0.414315857907336,0.670362965361909
"cor18694","RPEP4","ENSG00000244731","ENSG00000233010",0.00394922277955325,0.96239883411822,0.984242026448814
"cor18695","HDAC1P2","ENSG00000244731","ENSG00000233012",0.0160401148168118,0.848142372056935,0.935250764051985
"cor18696","FAM157B","ENSG00000244731","ENSG00000233013",0.0167072431413105,0.841907213881106,0.932834300660936
"cor18697","SNHG7","ENSG00000244731","ENSG00000233016",-0.134196416642114,0.107563773927312,0.316767448492064
"cor18698","RP11-118H15.1","ENSG00000244731","ENSG00000233022",0.0405476308176286,0.62822162433182,0.820253116361823
"cor18699","RP11-1212A22.4","ENSG00000244731","ENSG00000233024",-0.0791667169084647,0.34387869030018,0.607549192910526
"cor18700","CRYZP1","ENSG00000244731","ENSG00000233025",0.201187694290098,0.0152445089361582,0.0925587687445325
"cor18701","AC026166.2","ENSG00000244731","ENSG00000233026",-0.144215081341638,0.0835217004880952,0.271178686166772
"cor18702","RP4-725G10.4","ENSG00000244731","ENSG00000233028",-0.0151477492416854,0.856497313811534,0.939521827068009
"cor18703","RP11-439A17.9","ENSG00000244731","ENSG00000233029",0.228882126359444,0.0056209752409615,0.048791320508742
"cor18704","RP11-196G18.3","ENSG00000244731","ENSG00000233030",0.218808554907521,0.00819036142987575,0.0617607886172082
"cor18705","AC011899.9","ENSG00000244731","ENSG00000233038",0.0239298791844111,0.775107270218792,0.901394882579937
"cor18706","FAM204BP","ENSG00000244731","ENSG00000233040",-0.0420846416332084,0.615243519867088,0.812911392733443
"cor18707","ERVH48-1","ENSG00000244731","ENSG00000233056",-0.0266427358422238,0.750408497012708,0.888058616190161
"cor18708","LINC00884","ENSG00000244731","ENSG00000233058",-0.131181855640858,0.115771774198358,0.330919563955691
"cor18709","TTLL7-IT1","ENSG00000244731","ENSG00000233061",0.0169463190140258,0.839675111645648,0.932401915724969
"cor18710","SAR1AP4","ENSG00000244731","ENSG00000233063",-0.101867991127335,0.222764245100466,0.47937928139095
"cor18711","RP11-40F8.2","ENSG00000244731","ENSG00000233067",-0.0447490918932331,0.593027135833856,0.799686120375589
"cor18712","RPS15AP6","ENSG00000244731","ENSG00000233072",-0.037274690381518,0.6562354555409,0.836083280235044
"cor18713","AC005009.2","ENSG00000244731","ENSG00000233073",-0.140300724151864,0.0923445151475599,0.288845574443351
"cor18714","RP11-5P18.5","ENSG00000244731","ENSG00000233078",0.0391711428662925,0.639941801801609,0.826673753657197
