gene	set
ENSG00000173372	complement_57genes
ENSG00000173369	complement_57genes
ENSG00000159189	complement_57genes
ENSG00000159403	complement_57genes
ENSG00000182326	complement_57genes
ENSG00000206372	complement_57genes
ENSG00000125730	complement_57genes
ENSG00000206340	complement_57genes
ENSG00000228454	complement_57genes
ENSG00000106804	complement_57genes
ENSG00000039537	complement_57genes
ENSG00000112936	complement_57genes
ENSG00000157131	complement_57genes
ENSG00000021852	complement_57genes
ENSG00000176919	complement_57genes
ENSG00000113600	complement_57genes
ENSG00000241253	complement_57genes
ENSG00000197766	complement_57genes
ENSG00000126759	complement_57genes
ENSG00000184374	complement_57genes
ENSG00000118004	complement_57genes
ENSG00000085265	complement_57genes
ENSG00000160339	complement_57genes
ENSG00000142748	complement_57genes
ENSG00000127241	complement_57genes
ENSG00000009724	complement_57genes
ENSG00000165471	complement_57genes
ENSG00000171860	complement_57genes
ENSG00000123838	complement_57genes
ENSG00000123843	complement_57genes
ENSG00000197405	complement_57genes
ENSG00000117335	complement_57genes
ENSG00000196352	complement_57genes
ENSG00000085063	complement_57genes
ENSG00000125810	complement_57genes
ENSG00000000971	complement_57genes
ENSG00000244414	complement_57genes
ENSG00000080910	complement_57genes
ENSG00000116785	complement_57genes
ENSG00000134365	complement_57genes
ENSG00000134389	complement_57genes
ENSG00000205403	complement_57genes
ENSG00000120885	complement_57genes
ENSG00000203710	complement_57genes
ENSG00000117322	complement_57genes
ENSG00000183117	complement_57genes
ENSG00000121904	complement_57genes
ENSG00000164796	complement_57genes
ENSG00000197561	complement_57genes
ENSG00000180210	complement_57genes
ENSG00000169896	complement_57genes
ENSG00000140678	complement_57genes
ENSG00000160255	complement_57genes
ENSG00000149131	complement_57genes
ENSG00000155659	complement_57genes
ENSG00000109072	complement_57genes
ENSG00000134830	complement_57genes
ENSG00000173372	complement_and_C4A_PPI_stringDB_132genes
ENSG00000173369	complement_and_C4A_PPI_stringDB_132genes
ENSG00000159189	complement_and_C4A_PPI_stringDB_132genes
ENSG00000159403	complement_and_C4A_PPI_stringDB_132genes
ENSG00000182326	complement_and_C4A_PPI_stringDB_132genes
ENSG00000206372	complement_and_C4A_PPI_stringDB_132genes
ENSG00000125730	complement_and_C4A_PPI_stringDB_132genes
ENSG00000206340	complement_and_C4A_PPI_stringDB_132genes
ENSG00000228454	complement_and_C4A_PPI_stringDB_132genes
ENSG00000106804	complement_and_C4A_PPI_stringDB_132genes
ENSG00000039537	complement_and_C4A_PPI_stringDB_132genes
ENSG00000112936	complement_and_C4A_PPI_stringDB_132genes
ENSG00000157131	complement_and_C4A_PPI_stringDB_132genes
ENSG00000021852	complement_and_C4A_PPI_stringDB_132genes
ENSG00000176919	complement_and_C4A_PPI_stringDB_132genes
ENSG00000113600	complement_and_C4A_PPI_stringDB_132genes
ENSG00000241253	complement_and_C4A_PPI_stringDB_132genes
ENSG00000197766	complement_and_C4A_PPI_stringDB_132genes
ENSG00000126759	complement_and_C4A_PPI_stringDB_132genes
ENSG00000184374	complement_and_C4A_PPI_stringDB_132genes
ENSG00000118004	complement_and_C4A_PPI_stringDB_132genes
ENSG00000085265	complement_and_C4A_PPI_stringDB_132genes
ENSG00000160339	complement_and_C4A_PPI_stringDB_132genes
ENSG00000142748	complement_and_C4A_PPI_stringDB_132genes
ENSG00000127241	complement_and_C4A_PPI_stringDB_132genes
ENSG00000009724	complement_and_C4A_PPI_stringDB_132genes
ENSG00000165471	complement_and_C4A_PPI_stringDB_132genes
ENSG00000171860	complement_and_C4A_PPI_stringDB_132genes
ENSG00000123838	complement_and_C4A_PPI_stringDB_132genes
ENSG00000123843	complement_and_C4A_PPI_stringDB_132genes
ENSG00000197405	complement_and_C4A_PPI_stringDB_132genes
ENSG00000117335	complement_and_C4A_PPI_stringDB_132genes
ENSG00000196352	complement_and_C4A_PPI_stringDB_132genes
ENSG00000085063	complement_and_C4A_PPI_stringDB_132genes
ENSG00000125810	complement_and_C4A_PPI_stringDB_132genes
ENSG00000000971	complement_and_C4A_PPI_stringDB_132genes
ENSG00000244414	complement_and_C4A_PPI_stringDB_132genes
ENSG00000080910	complement_and_C4A_PPI_stringDB_132genes
ENSG00000116785	complement_and_C4A_PPI_stringDB_132genes
ENSG00000134365	complement_and_C4A_PPI_stringDB_132genes
ENSG00000134389	complement_and_C4A_PPI_stringDB_132genes
ENSG00000205403	complement_and_C4A_PPI_stringDB_132genes
ENSG00000120885	complement_and_C4A_PPI_stringDB_132genes
ENSG00000203710	complement_and_C4A_PPI_stringDB_132genes
ENSG00000117322	complement_and_C4A_PPI_stringDB_132genes
ENSG00000183117	complement_and_C4A_PPI_stringDB_132genes
ENSG00000121904	complement_and_C4A_PPI_stringDB_132genes
ENSG00000164796	complement_and_C4A_PPI_stringDB_132genes
ENSG00000197561	complement_and_C4A_PPI_stringDB_132genes
ENSG00000180210	complement_and_C4A_PPI_stringDB_132genes
ENSG00000169896	complement_and_C4A_PPI_stringDB_132genes
ENSG00000140678	complement_and_C4A_PPI_stringDB_132genes
ENSG00000160255	complement_and_C4A_PPI_stringDB_132genes
ENSG00000149131	complement_and_C4A_PPI_stringDB_132genes
ENSG00000155659	complement_and_C4A_PPI_stringDB_132genes
ENSG00000109072	complement_and_C4A_PPI_stringDB_132genes
ENSG00000134830	complement_and_C4A_PPI_stringDB_132genes
ENSG00000137845	complement_and_C4A_PPI_stringDB_132genes
ENSG00000081051	complement_and_C4A_PPI_stringDB_132genes
ENSG00000145192	complement_and_C4A_PPI_stringDB_132genes
ENSG00000163631	complement_and_C4A_PPI_stringDB_132genes
ENSG00000074855	complement_and_C4A_PPI_stringDB_132genes
ENSG00000084234	complement_and_C4A_PPI_stringDB_132genes
ENSG00000118137	complement_and_C4A_PPI_stringDB_132genes
ENSG00000158874	complement_and_C4A_PPI_stringDB_132genes
ENSG00000110243	complement_and_C4A_PPI_stringDB_132genes
ENSG00000084674	complement_and_C4A_PPI_stringDB_132genes
ENSG00000130203	complement_and_C4A_PPI_stringDB_132genes
ENSG00000100342	complement_and_C4A_PPI_stringDB_132genes
ENSG00000142192	complement_and_C4A_PPI_stringDB_132genes
ENSG00000078898	complement_and_C4A_PPI_stringDB_132genes
ENSG00000128595	complement_and_C4A_PPI_stringDB_132genes
ENSG00000089199	complement_and_C4A_PPI_stringDB_132genes
ENSG00000184371	complement_and_C4A_PPI_stringDB_132genes
ENSG00000101439	complement_and_C4A_PPI_stringDB_132genes
ENSG00000142871	complement_and_C4A_PPI_stringDB_132genes
ENSG00000152592	complement_and_C4A_PPI_stringDB_132genes
ENSG00000115363	complement_and_C4A_PPI_stringDB_132genes
ENSG00000198734	complement_and_C4A_PPI_stringDB_132genes
ENSG00000108950	complement_and_C4A_PPI_stringDB_132genes
ENSG00000177706	complement_and_C4A_PPI_stringDB_132genes
ENSG00000166147	complement_and_C4A_PPI_stringDB_132genes
ENSG00000171560	complement_and_C4A_PPI_stringDB_132genes
ENSG00000171557	complement_and_C4A_PPI_stringDB_132genes
ENSG00000115414	complement_and_C4A_PPI_stringDB_132genes
ENSG00000070404	complement_and_C4A_PPI_stringDB_132genes
ENSG00000001036	complement_and_C4A_PPI_stringDB_132genes
ENSG00000183087	complement_and_C4A_PPI_stringDB_132genes
ENSG00000166598	complement_and_C4A_PPI_stringDB_132genes
ENSG00000146678	complement_and_C4A_PPI_stringDB_132genes
ENSG00000141753	complement_and_C4A_PPI_stringDB_132genes
ENSG00000115461	complement_and_C4A_PPI_stringDB_132genes
ENSG00000163453	complement_and_C4A_PPI_stringDB_132genes
ENSG00000254709	complement_and_C4A_PPI_stringDB_132genes
ENSG00000136244	complement_and_C4A_PPI_stringDB_132genes
ENSG00000151655	complement_and_C4A_PPI_stringDB_132genes
ENSG00000113889	complement_and_C4A_PPI_stringDB_132genes
ENSG00000091136	complement_and_C4A_PPI_stringDB_132genes
ENSG00000172037	complement_and_C4A_PPI_stringDB_132genes
ENSG00000135862	complement_and_C4A_PPI_stringDB_132genes
ENSG00000100097	complement_and_C4A_PPI_stringDB_132genes
ENSG00000049323	complement_and_C4A_PPI_stringDB_132genes
ENSG00000132031	complement_and_C4A_PPI_stringDB_132genes
ENSG00000140545	complement_and_C4A_PPI_stringDB_132genes
ENSG00000163975	complement_and_C4A_PPI_stringDB_132genes
ENSG00000154305	complement_and_C4A_PPI_stringDB_132genes
ENSG00000102854	complement_and_C4A_PPI_stringDB_132genes
